"","id","model","model.params","series","mddl","mda"
"3033",3033,"Wavelets","d16,5,reflection","data/series_07.RData","14.3209591046622","0.788746193283467"
"3034",3034,"Wavelets","d18,5,reflection","data/series_07.RData","16.3433658519337","0.800506913287556"
"3035",3035,"Wavelets","d20,5,reflection","data/series_07.RData","21.5847065783124","0.795076895493958"
"3036",3036,"Wavelets","la8,5,reflection","data/series_07.RData","18.101351466321","0.78223440572245"
"3037",3037,"Wavelets","la10,5,reflection","data/series_07.RData","14.2320485915144","0.797675365748717"
"3038",3038,"Wavelets","la12,5,reflection","data/series_07.RData","19.2775899877125","0.78526581516817"
"3039",3039,"Wavelets","la14,5,reflection","data/series_07.RData","12.8914669100587","0.785419327649639"
"3040",3040,"Wavelets","la16,5,reflection","data/series_07.RData","21.0677376491939","0.788547480480755"
"3041",3041,"Wavelets","la18,5,reflection","data/series_07.RData","13.5803502992626","0.800931644349841"
"3042",3042,"Wavelets","la20,5,reflection","data/series_07.RData","22.8891242596936","0.791689242430069"
"3043",3043,"Wavelets","bl14,5,reflection","data/series_07.RData","19.1498584174656","0.777544170281096"
"3044",3044,"Wavelets","bl18,5,reflection","data/series_07.RData","21.5554889886213","0.7793334881864"
"3045",3045,"Wavelets","bl20,5,reflection","data/series_07.RData","18.5990024488388","0.799768799363668"
"3046",3046,"Wavelets","c6,5,reflection","data/series_07.RData","13.2132671616957","0.78065275564303"
"3047",3047,"Wavelets","c12,5,reflection","data/series_07.RData","18.9988262780032","0.785627690167283"
"3048",3048,"Wavelets","c18,5,reflection","data/series_07.RData","17.8919172606086","0.796418032274773"
"3049",3049,"Wavelets","c24,5,reflection","data/series_07.RData","14.781552711359","0.801162065183697"
"3050",3050,"Wavelets","c30,5,reflection","data/series_07.RData","15.1992594022755","0.799515956190962"
"3051",3051,"Wavelets","d2,6,reflection","data/series_07.RData","68.9645499006983","0.81325502160506"
"3052",3052,"Wavelets","d4,6,reflection","data/series_07.RData","24.0743337160235","0.767475247851119"
"3053",3053,"Wavelets","d6,6,reflection","data/series_07.RData","48.517428715647","0.826055643875994"
"3054",3054,"Wavelets","d8,6,reflection","data/series_07.RData","65.9020654935943","0.844216496823122"
"3055",3055,"Wavelets","d10,6,reflection","data/series_07.RData","47.1295118138278","0.812979613821111"
"3056",3056,"Wavelets","d12,6,reflection","data/series_07.RData","28.6129604872628","0.783050021402837"
"3057",3057,"Wavelets","d14,6,reflection","data/series_07.RData","31.3616771306978","0.820666544528762"
"3058",3058,"Wavelets","d16,6,reflection","data/series_07.RData","30.9608584409412","0.846110651503556"
"3059",3059,"Wavelets","d18,6,reflection","data/series_07.RData","18.9144697854334","0.828608474494824"
"3060",3060,"Wavelets","d20,6,reflection","data/series_07.RData","41.7850227044733","0.801645519393473"
"3061",3061,"Wavelets","la8,6,reflection","data/series_07.RData","35.152057788022","0.78704300135112"
"3062",3062,"Wavelets","la10,6,reflection","data/series_07.RData","43.349077896959","0.788512471295781"
"3063",3063,"Wavelets","la12,6,reflection","data/series_07.RData","37.0146825493579","0.802453696852241"
"3064",3064,"Wavelets","la14,6,reflection","data/series_07.RData","45.0806291130122","0.844799524905095"
"3065",3065,"Wavelets","la16,6,reflection","data/series_07.RData","30.2598985702298","0.814085353461642"
"3066",3066,"Wavelets","la18,6,reflection","data/series_07.RData","46.8935775030286","0.81697940175707"
"3067",3067,"Wavelets","la20,6,reflection","data/series_07.RData","27.2329017174599","0.824605435451221"
"3068",3068,"Wavelets","bl14,6,reflection","data/series_07.RData","32.9300513871273","0.830200239416942"
"3069",3069,"Wavelets","bl18,6,reflection","data/series_07.RData","37.140305142072","0.83511878389809"
"3070",3070,"Wavelets","bl20,6,reflection","data/series_07.RData","32.5907430341272","0.815846139258101"
"3071",3071,"Wavelets","c6,6,reflection","data/series_07.RData","20.8320339794677","0.81532056994886"
"3072",3072,"Wavelets","c12,6,reflection","data/series_07.RData","60.7415805100683","0.798228461916872"
"3073",3073,"Wavelets","c18,6,reflection","data/series_07.RData","45.5225565388122","0.803839715203298"
"3074",3074,"Wavelets","c24,6,reflection","data/series_07.RData","36.5914356249354","0.815468989469897"
"3075",3075,"Wavelets","c30,6,reflection","data/series_07.RData","35.7860489577037","0.824259437890209"
"3076",3076,"Wavelets","d2,7,reflection","data/series_07.RData","176.446803071428","0.926075789766695"
"3077",3077,"Wavelets","d4,7,reflection","data/series_07.RData","100.477027753385","0.933403138119971"
"3078",3078,"Wavelets","d6,7,reflection","data/series_07.RData","41.9171117016219","0.943498633509904"
"3079",3079,"Wavelets","d8,7,reflection","data/series_07.RData","49.6658548303808","0.933059711806738"
"3080",3080,"Wavelets","d10,7,reflection","data/series_07.RData","71.8825876413339","0.919410450539397"
"3081",3081,"Wavelets","d12,7,reflection","data/series_07.RData","52.975458040403","0.919691596753034"
"3082",3082,"Wavelets","d14,7,reflection","data/series_07.RData","60.9392310316418","0.918291757918482"
"3083",3083,"Wavelets","d16,7,reflection","data/series_07.RData","59.0113072952124","0.910070849453385"
"3084",3084,"Wavelets","d18,7,reflection","data/series_07.RData","88.7233043850031","0.909529435439924"
"3085",3085,"Wavelets","d20,7,reflection","data/series_07.RData","48.3193902730024","0.9168789332536"
"3086",3086,"Wavelets","la8,7,reflection","data/series_07.RData","88.2596646053001","0.925096242107339"
"3087",3087,"Wavelets","la10,7,reflection","data/series_07.RData","55.5185336286583","0.920806070308589"
"3088",3088,"Wavelets","la12,7,reflection","data/series_07.RData","52.9459838800243","0.925902802620701"
"3089",3089,"Wavelets","la14,7,reflection","data/series_07.RData","54.8638368483769","0.912668854971627"
"3090",3090,"Wavelets","la16,7,reflection","data/series_07.RData","69.6354374420093","0.924296017417956"
"3091",3091,"Wavelets","la18,7,reflection","data/series_07.RData","44.5292951815134","0.91564727191949"
"3092",3092,"Wavelets","la20,7,reflection","data/series_07.RData","55.5447698695838","0.92188537896578"
"3093",3093,"Wavelets","bl14,7,reflection","data/series_07.RData","61.0603106297024","0.922283699539439"
"3094",3094,"Wavelets","bl18,7,reflection","data/series_07.RData","65.2075841407843","0.915669741972008"
"3095",3095,"Wavelets","bl20,7,reflection","data/series_07.RData","46.5137030939796","0.919976788564543"
"3096",3096,"Wavelets","c6,7,reflection","data/series_07.RData","40.7680821879337","0.932688270741372"
"3097",3097,"Wavelets","c12,7,reflection","data/series_07.RData","50.7050893448669","0.92918885151046"
"3098",3098,"Wavelets","c18,7,reflection","data/series_07.RData","53.3391964768199","0.92550668756866"
"3099",3099,"Wavelets","c24,7,reflection","data/series_07.RData","43.3167451298014","0.925764575930097"
"3100",3100,"Wavelets","c30,7,reflection","data/series_07.RData","53.3822691598136","0.914805888305956"
"3101",3101,"Wavelets","d2,8,reflection","data/series_07.RData","301.944153696866","0.91560222979766"
"3102",3102,"Wavelets","d4,8,reflection","data/series_07.RData","102.911768582035","0.92227797159298"
"3103",3103,"Wavelets","d6,8,reflection","data/series_07.RData","119.850495615042","0.922229640657578"
"3104",3104,"Wavelets","d8,8,reflection","data/series_07.RData","100.66274148156","0.918684528865407"
"3105",3105,"Wavelets","d10,8,reflection","data/series_07.RData","185.788054730904","0.918828478500472"
"3106",3106,"Wavelets","d12,8,reflection","data/series_07.RData","157.643823825077","0.921220735973449"
"3107",3107,"Wavelets","d14,8,reflection","data/series_07.RData","154.295245744328","0.921824773786655"
"3108",3108,"Wavelets","d16,8,reflection","data/series_07.RData","145.114022081451","0.918879181221502"
"3109",3109,"Wavelets","d18,8,reflection","data/series_07.RData","104.332941157611","0.917839157446545"
"3110",3110,"Wavelets","d20,8,reflection","data/series_07.RData","133.374171643523","0.920459457078771"
"3111",3111,"Wavelets","la8,8,reflection","data/series_07.RData","164.332808635882","0.923039985167321"
"3112",3112,"Wavelets","la10,8,reflection","data/series_07.RData","148.264165227689","0.922135449504133"
"3113",3113,"Wavelets","la12,8,reflection","data/series_07.RData","85.3071523787733","0.92572605612889"
"3114",3114,"Wavelets","la14,8,reflection","data/series_07.RData","89.198687130435","0.918596107531433"
"3115",3115,"Wavelets","la16,8,reflection","data/series_07.RData","103.38938496728","0.923199457124849"
"3116",3116,"Wavelets","la18,8,reflection","data/series_07.RData","56.9530073734917","0.91997336420282"
"3117",3117,"Wavelets","la20,8,reflection","data/series_07.RData","175.74282861874","0.919348103227328"
"3118",3118,"Wavelets","bl14,8,reflection","data/series_07.RData","84.8175745576146","0.923743633154649"
"3119",3119,"Wavelets","bl18,8,reflection","data/series_07.RData","56.4148145317264","0.923092402929637"
"3120",3120,"Wavelets","bl20,8,reflection","data/series_07.RData","116.614623861285","0.920733868521662"
"3121",3121,"Wavelets","c6,8,reflection","data/series_07.RData","76.2107678873879","0.923965761065483"
"3122",3122,"Wavelets","c12,8,reflection","data/series_07.RData","102.325415052049","0.924245780302053"
"3123",3123,"Wavelets","c18,8,reflection","data/series_07.RData","209.592396118917","0.92117956758444"
"3124",3124,"Wavelets","c24,8,reflection","data/series_07.RData","184.95775482362","0.920513542662913"
"3125",3125,"Wavelets","c30,8,reflection","data/series_07.RData","88.7642885191609","0.915779113140538"
"3126",3126,"Wavelets","d2,9,reflection","data/series_07.RData","114.165730694337","0.916331006354423"
"3127",3127,"Wavelets","d4,9,reflection","data/series_07.RData","74.0789718690265","0.918834366900238"
"3128",3128,"Wavelets","d6,9,reflection","data/series_07.RData","218.685612140168","0.920415232484065"
"3129",3129,"Wavelets","d8,9,reflection","data/series_07.RData","280.723207014887","0.92045724430875"
"3130",3130,"Wavelets","d10,9,reflection","data/series_07.RData","262.491786941995","0.92043675006035"
"3131",3131,"Wavelets","d12,9,reflection","data/series_07.RData","203.149602745788","0.921137368499334"
"3132",3132,"Wavelets","d14,9,reflection","data/series_07.RData","210.854904689686","0.921308429082434"
"3133",3133,"Wavelets","d16,9,reflection","data/series_07.RData","254.446620764085","0.92092330648971"
"3134",3134,"Wavelets","d18,9,reflection","data/series_07.RData","200.285233998265","0.921098876583516"
"3135",3135,"Wavelets","d20,9,reflection","data/series_07.RData","214.979459876892","0.92122789209512"
"3136",3136,"Wavelets","la8,9,reflection","data/series_07.RData","194.345045125183","0.920400962982345"
"3137",3137,"Wavelets","la10,9,reflection","data/series_07.RData","102.56199149599","0.919401553378033"
"3138",3138,"Wavelets","la12,9,reflection","data/series_07.RData","205.3926241087","0.919579165904366"
"3139",3139,"Wavelets","la14,9,reflection","data/series_07.RData","63.1307492376142","0.920519237467392"
"3140",3140,"Wavelets","la16,9,reflection","data/series_07.RData","227.540722555265","0.922338688673087"
"3141",3141,"Wavelets","la18,9,reflection","data/series_07.RData","169.009762877939","0.918109178018929"
"3142",3142,"Wavelets","la20,9,reflection","data/series_07.RData","164.027747063678","0.919418993068101"
"3143",3143,"Wavelets","bl14,9,reflection","data/series_07.RData","158.178109008359","0.919787837287888"
"3144",3144,"Wavelets","bl18,9,reflection","data/series_07.RData","107.954601133","0.919760814608641"
"3145",3145,"Wavelets","bl20,9,reflection","data/series_07.RData","174.940872897976","0.919819186740185"
"3146",3146,"Wavelets","c6,9,reflection","data/series_07.RData","146.285171764027","0.918357464746015"
"3147",3147,"Wavelets","c12,9,reflection","data/series_07.RData","221.285140808726","0.921592456252132"
"3148",3148,"Wavelets","c18,9,reflection","data/series_07.RData","76.2001857192932","0.921003425495708"
"3149",3149,"Wavelets","c24,9,reflection","data/series_07.RData","152.904785576602","0.922379319976323"
"3150",3150,"Wavelets","c30,9,reflection","data/series_07.RData","140.76670384018","0.919694074763725"
"3151",3151,"Wavelets","d2,1,periodic","data/series_08.RData","3.80248375930136","0.0272298760684067"
"3152",3152,"Wavelets","d4,1,periodic","data/series_08.RData","1.69129041259347","0.00855755469137007"
"3153",3153,"Wavelets","d6,1,periodic","data/series_08.RData","2.41513497339174","0.00880266812503637"
"3154",3154,"Wavelets","d8,1,periodic","data/series_08.RData","3.2891105303157","0.00912957188360927"
"3155",3155,"Wavelets","d10,1,periodic","data/series_08.RData","3.31825463729223","0.00913708040463837"
"3156",3156,"Wavelets","d12,1,periodic","data/series_08.RData","3.26147232199704","0.00896354811312865"
"3157",3157,"Wavelets","d14,1,periodic","data/series_08.RData","2.53224250962111","0.00875986878544878"
"3158",3158,"Wavelets","d16,1,periodic","data/series_08.RData","1.74171853656421","0.00863351393757206"
"3159",3159,"Wavelets","d18,1,periodic","data/series_08.RData","2.26051068540817","0.00866332186424599"
"3160",3160,"Wavelets","d20,1,periodic","data/series_08.RData","3.79042785991111","0.00885434415479233"
"3161",3161,"Wavelets","la8,1,periodic","data/series_08.RData","2.29492439245358","0.00854261255562458"
"3162",3162,"Wavelets","la10,1,periodic","data/series_08.RData","1.79688897448573","0.00858032677481162"
"3163",3163,"Wavelets","la12,1,periodic","data/series_08.RData","2.57636110763077","0.00859391887943686"
"3164",3164,"Wavelets","la14,1,periodic","data/series_08.RData","3.24821045607323","0.00886120692744615"
"3165",3165,"Wavelets","la16,1,periodic","data/series_08.RData","2.22884451073436","0.00863018366727561"
"3166",3166,"Wavelets","la18,1,periodic","data/series_08.RData","1.68929762159998","0.00864134058381148"
"3167",3167,"Wavelets","la20,1,periodic","data/series_08.RData","2.7856107787518","0.00865701716638933"
"3168",3168,"Wavelets","bl14,1,periodic","data/series_08.RData","3.48080624510121","0.00883184100764344"
"3169",3169,"Wavelets","bl18,1,periodic","data/series_08.RData","2.1275063675012","0.00895133775795796"
"3170",3170,"Wavelets","bl20,1,periodic","data/series_08.RData","2.52528052774564","0.00865004961729873"
"3171",3171,"Wavelets","c6,1,periodic","data/series_08.RData","2.10916568164526","0.00861601818921998"
"3172",3172,"Wavelets","c12,1,periodic","data/series_08.RData","2.33502154059081","0.00863287118746169"
"3173",3173,"Wavelets","c18,1,periodic","data/series_08.RData","2.94958304837901","0.00867845938359937"
"3174",3174,"Wavelets","c24,1,periodic","data/series_08.RData","2.16274680624612","0.00870561490160642"
"3175",3175,"Wavelets","c30,1,periodic","data/series_08.RData","2.28866289052065","0.00872430348828501"
"3176",3176,"Wavelets","d2,2,periodic","data/series_08.RData","1.97431410492556","0.055076972075098"
"3177",3177,"Wavelets","d4,2,periodic","data/series_08.RData","2.70469961338743","0.00792898539003001"
"3178",3178,"Wavelets","d6,2,periodic","data/series_08.RData","2.22803760100394","0.00654241033995304"
"3179",3179,"Wavelets","d8,2,periodic","data/series_08.RData","1.32283089695723","0.00650278208993759"
"3180",3180,"Wavelets","d10,2,periodic","data/series_08.RData","1.724381470344","0.00634339856415"
"3181",3181,"Wavelets","d12,2,periodic","data/series_08.RData","1.66384465053552","0.00624191461863106"
"3182",3182,"Wavelets","d14,2,periodic","data/series_08.RData","1.71891164209616","0.00638944288927345"
"3183",3183,"Wavelets","d16,2,periodic","data/series_08.RData","1.61628993233658","0.00651691897428418"
"3184",3184,"Wavelets","d18,2,periodic","data/series_08.RData","2.01016678211138","0.00649422528581248"
"3185",3185,"Wavelets","d20,2,periodic","data/series_08.RData","2.57614201568612","0.00636434530960419"
"3186",3186,"Wavelets","la8,2,periodic","data/series_08.RData","1.73623220520928","0.00633143644830231"
"3187",3187,"Wavelets","la10,2,periodic","data/series_08.RData","1.41296550294456","0.00626463946300189"
"3188",3188,"Wavelets","la12,2,periodic","data/series_08.RData","1.99625012737135","0.00646356611393261"
"3189",3189,"Wavelets","la14,2,periodic","data/series_08.RData","1.76273297483698","0.00653824599567408"
"3190",3190,"Wavelets","la16,2,periodic","data/series_08.RData","1.95440826751097","0.00631596127372287"
"3191",3191,"Wavelets","la18,2,periodic","data/series_08.RData","1.61847819959207","0.00629664990761675"
"3192",3192,"Wavelets","la20,2,periodic","data/series_08.RData","2.19662543828798","0.00647252527796535"
"3193",3193,"Wavelets","bl14,2,periodic","data/series_08.RData","2.76345546531836","0.00655300970949483"
"3194",3194,"Wavelets","bl18,2,periodic","data/series_08.RData","1.49581444002611","0.00628106306583724"
"3195",3195,"Wavelets","bl20,2,periodic","data/series_08.RData","1.42987213912895","0.00642925308006783"
"3196",3196,"Wavelets","c6,2,periodic","data/series_08.RData","1.76018348909087","0.00769236316817699"
"3197",3197,"Wavelets","c12,2,periodic","data/series_08.RData","2.62224836922533","0.00621929939864929"
"3198",3198,"Wavelets","c18,2,periodic","data/series_08.RData","3.31254123268297","0.00625556831421192"
"3199",3199,"Wavelets","c24,2,periodic","data/series_08.RData","3.28714869246134","0.00627227780021886"
